,Original,Media,STD
0,[76],[nan],[nan]
1,[88],[nan],[nan]
2,[62],[nan],[nan]
3,[58],[nan],[nan]
4,[60],[nan],[nan]
5,[74],[nan],[nan]
6,[78],[nan],[nan]
7,[112],[nan],[nan]
8,[118],[nan],[nan]
9,[108],[nan],[nan]
10,[66],[nan],[nan]
11,[104],[83.66666667],[21.72277118]
12,[100],[85.66666667],[22.0550276]
13,[68],[84.],[22.61134068]
14,[100],[87.16666667],[21.89991006]
15,[68],[88.],[20.85447412]
16,[64],[88.33333333],[20.39310638]
17,[58],[87.],[21.88399166]
18,[84],[87.5],[21.7276531]
19,[72],[84.16666667],[20.66984335]
20,[84],[81.33333333],[17.7320118]
21,[92],[80.],[16.06803716]
22,[70],[80.33333333],[15.79029238]
23,[92],[79.33333333],[14.48091743]
24,[188],[86.66666667],[34.43395083]
25,[158],[94.16666667],[39.43656202]
26,[84],[92.83333333],[39.49184803]
27,[90],[94.66666667],[38.73765688]
28,[78],[95.83333333],[37.93255578]
29,[102],[99.5],[36.02145825]
30,[162],[106.],[39.80863314]
31,[160],[113.33333333],[41.06166833]
32,[118],[116.16666667],[40.01325538]
33,[104],[117.16666667],[39.50105484]
34,[78],[117.83333333],[38.69186744]
35,[62],[115.33333333],[41.38803809]
36,[356],[129.33333333],[79.27550732]
37,[248],[136.83333333],[86.18988902]
38,[166],[143.66666667],[84.86067012]
39,[116],[145.83333333],[83.68972277]
40,[160],[152.66666667],[80.95041505]
41,[134],[155.33333333],[79.6461873]
42,[118],[151.66666667],[80.32132439]
43,[168],[152.33333333],[80.42990549]
44,[414],[177.],[109.19040917]
45,[140],[180.],[107.48361397]
46,[342],[202.],[111.645543]
47,[172],[211.16666667],[103.31050579]
48,[178],[196.33333333],[92.87658804]
49,[164],[189.33333333],[91.78763368]
50,[330],[203.],[99.85261867]
51,[322],[220.16666667],[101.23405224]
52,[346],[235.66666667],[105.34042937]
53,[140],[236.16666667],[104.82698588]
54,[292],[250.66666667],[98.86017061]
55,[560],[283.33333333],[129.17735049]
56,[416],[283.5],[129.36242253]
57,[368],[302.5],[122.95490674]
58,[382],[305.83333333],[124.65358058]
59,[256],[312.83333333],[118.66977354]
60,[230],[317.16666667],[114.1624308]
61,[262],[325.33333333],[105.37666926]
62,[232],[317.16666667],[108.72637326]
63,[140],[302.],[120.09087468]
64,[256],[294.5],[119.90337019]
65,[342],[311.33333333],[110.01267145]
66,[358],[316.83333333],[110.60645496]
67,[422],[305.33333333],[87.8607714]
68,[304],[296.],[80.69245769]
69,[1112],[358.],[249.75770076]
70,[584],[374.83333333],[258.18732922]
71,[450],[391.],[256.13561749]
72,[678],[428.33333333],[263.09049025]
73,[474],[446.],[257.97392398]
74,[334],[454.5],[251.89048847]
75,[280],[466.16666667],[238.90729786]
76,[348],[473.83333333],[232.95174426]
77,[412],[479.66666667],[230.21070717]
78,[758],[513.],[239.75366146]
79,[620],[529.5],[239.73489146]
80,[366],[534.66666667],[235.05563494]
81,[304],[467.33333333],[157.61018272]
82,[356],[448.33333333],[156.00194249]
83,[504],[452.83333333],[156.83102275]
84,[280],[419.66666667],[146.63704935]
85,[280],[403.5],[150.73908825]
86,[316],[402.],[151.58076155]
87,[318],[405.16666667],[149.17825416]
88,[374],[407.33333333],[148.45956495]
89,[344],[401.66666667],[149.55894754]
90,[256],[359.83333333],[104.13787481]
91,[136],[319.5],[86.43705014]
92,[172],[303.33333333],[94.69696485]
93,[146],[290.16666667],[105.01760314]
94,[358],[290.33333333],[105.13310467]
95,[190],[264.16666667],[84.08851757]
96,[166],[254.66666667],[88.46296948]
97,[176],[246.],[90.81850032]
98,[210],[237.16666667],[88.51690474]
99,[284],[234.33333333],[86.20834523]
100,[402],[236.66666667],[90.59935112]
101,[356],[237.66666667],[91.94794311]
102,[244],[236.66666667],[91.79555677]
103,[204],[242.33333333],[86.98937588]
104,[488],[268.66666667],[108.8462914]
105,[254],[277.66666667],[102.03326849]
106,[210],[265.33333333],[100.37143141]
107,[478],[289.33333333],[114.20024943]
108,[596],[325.16666667],[137.14082565]
109,[332],[338.16666667],[128.85921376]
110,[396],[353.66666667],[123.09887625]
111,[422],[365.16666667],[122.4431841]
112,[238],[351.5],[127.02505122]
113,[632],[374.5],[150.69565959]
114,[526],[398.],[150.48285919]
115,[376],[412.33333333],[137.99824329]
116,[350],[400.83333333],[136.86478618]
117,[512],[422.33333333],[131.87551522]
118,[494],[446.],[114.66631431]
119,[242],[426.33333333],[128.12730412]
120,[418],[411.5],[116.47278262]
121,[580],[432.16666667],[122.90856419]
122,[376],[430.5],[123.57735891]
123,[254],[416.5],[133.72733453]
124,[290],[420.83333333],[128.14326736]
125,[256],[389.5],[117.32821098]
126,[304],[371.],[111.19025464]
127,[324],[366.66666667],[111.98809461]
128,[618],[389.],[133.0960009]
129,[402],[379.83333333],[127.5259926]
130,[292],[363.],[124.37918563]
131,[278],[366.],[121.59844497]
132,[564],[378.16666667],[133.95103131]
133,[352],[359.16666667],[117.93205543]
134,[178],[342.66666667],[128.72051001]
135,[488],[362.16666667],[131.75585778]
136,[362],[368.16666667],[129.79552684]
137,[238],[366.66666667],[131.30487309]
138,[220],[359.66666667],[137.06225084]
139,[344],[361.33333333],[136.71026651]
140,[222],[328.33333333],[115.22888948]
141,[174],[309.33333333],[120.64774672]
142,[262],[306.83333333],[121.34835904]
143,[662],[338.83333333],[158.1149371]
144,[626],[344.],[166.90988314]
145,[892],[389.],[230.09642248]
146,[742],[436.],[240.44806659]
147,[444],[432.33333333],[239.91791526]
148,[410],[436.33333333],[239.03721024]
149,[832],[485.83333333],[255.18970959]
150,[718],[527.33333333],[248.43266266]
151,[508],[541.],[241.85420101]
152,[504],[564.5],[220.82675233]
153,[470],[589.16666667],[187.21588575]
154,[314],[593.5],[179.39316902]
155,[308],[564.],[195.48913013]
156,[442],[548.66666667],[197.39085976]
157,[342],[502.83333333],[172.73723257]
158,[508],[483.33333333],[155.64606314]
159,[614],[497.5],[159.43109084]
160,[464],[502.],[157.48708461]
161,[208],[450.],[140.74864766]
162,[208],[407.5],[128.97392266]
163,[392],[397.83333333],[125.04387109]
164,[426],[391.33333333],[120.98484754]
165,[538],[397.],[126.47241884]
166,[380],[402.5],[123.94463573]
167,[424],[412.16666667],[120.37655566]
168,[438],[411.83333333],[120.29194285]
169,[338],[411.5],[120.50839277]
170,[562],[416.],[125.35041792]
171,[490],[405.66666667],[111.93775327]
172,[416],[401.66666667],[110.51230564]
173,[494],[425.5],[94.65007324]
174,[688],[465.5],[95.79571067]
175,[326],[460.],[102.08730666]
176,[252],[445.5],[118.40800034]
177,[876],[473.66666667],[170.9541849]
178,[670],[497.83333333],[176.90358614]
179,[476],[502.16666667],[175.56238639]
180,[420],[500.66666667],[176.23606758]
181,[1122],[566.],[243.09070511]
182,[970],[600.],[269.57070248]
183,[574],[607.],[267.53759294]
184,[856],[643.66666667],[269.12765924]
185,[788],[668.16666667],[267.64217406]
186,[652],[665.16666667],[267.60141097]
187,[464],[676.66666667],[254.33740415]
188,[748],[718.],[216.54476757]
189,[730],[705.83333333],[210.88809326]
190,[372],[681.],[231.98197422]
191,[784],[706.66666667],[224.14497473]
192,[762],[735.16666667],[205.33512888]
193,[546],[687.16666667],[171.16809034]
194,[582],[654.83333333],[147.9568938]
195,[906],[682.5],[161.85543494]
196,[400],[644.5],[170.70575428]
197,[390],[611.33333333],[178.76410731]
198,[526],[600.83333333],[179.85541331]
199,[530],[606.33333333],[176.26392058]
200,[510],[586.5],[172.21788525]
201,[534],[570.16666667],[166.57285238]
202,[536],[583.83333333],[155.17370521]
203,[346],[547.33333333],[155.3233187]
204,[360],[513.83333333],[147.99375499]
205,[590],[517.5],[149.4015334]
206,[374],[500.16666667],[153.25429452]
207,[292],[449.],[97.96659913]
208,[722],[475.83333333],[123.97201542]
209,[1112],[536.],[218.04086356]
210,[456],[530.16666667],[219.26564766]
211,[556],[532.33333333],[219.39227356]
212,[760],[553.16666667],[228.74910167]
213,[642],[562.16666667],[230.04736008]
214,[382],[549.33333333],[235.86179826]
215,[596],[570.16666667],[227.14906333]
216,[714],[599.66666667],[220.25577418]
217,[420],[585.5],[226.31775731]
218,[372],[585.33333333],[226.4883434]
219,[602],[611.16666667],[206.81385277]
220,[968],[631.66666667],[229.72209825]
